Date,Open,High,Low,Close,Volume,Return
4/6/2021,4075.57,4086.23,4068.14,4073.94,2147071522,-0.000973538
4/7/2021,4074.29,4083.13,4068.31,4079.95,1963233249,0.00147523
4/8/2021,4089.95,4098.19,4082.54,4097.17,2011933177,0.00422064
4/9/2021,4096.11,4129.48,4095.51,4128.8,1880708120,0.007719963
4/12/2021,4124.71,4131.76,4114.82,4127.99,1923094540,-0.000196183
4/13/2021,4130.1,4148,4124.43,4141.59,2060718961,0.003294582
4/14/2021,4141.58,4151.69,4120.87,4124.66,2092018943,-0.004087802
4/15/2021,4139.76,4173.49,4139.76,4170.42,2130933628,0.011094248
4/16/2021,4174.14,4191.31,4170.75,4185.47,2205786949,0.003608749
4/19/2021,4179.8,4180.81,4150.47,4163.26,1999877307,-0.005306453
4/20/2021,4159.18,4159.18,4118.38,4134.94,2292083378,-0.006802362
4/21/2021,4128.42,4175.02,4126.35,4173.42,2126513143,0.00930606
4/22/2021,4170.46,4179.57,4123.69,4134.98,2392241341,-0.009210671
4/23/2021,4138.78,4194.17,4138.78,4180.17,2008642236,0.010928711
4/26/2021,4185.03,4194.19,4182.36,4187.62,1937952599,0.001782224
4/27/2021,4188.25,4193.35,4176.22,4186.72,2034702320,-0.000214919
4/28/2021,4185.14,4201.53,4181.78,4183.18,2145349329,-0.000845531
4/29/2021,4206.14,4218.78,4176.81,4211.47,2502878449,0.006762798
4/30/2021,4198.1,4198.1,4174.85,4181.17,2428162998,-0.007194638
5/3/2021,4191.98,4209.39,4188.03,4192.66,2182103434,0.002748035
5/4/2021,4179.04,4179.04,4128.59,4164.66,2552420121,-0.006678338
5/5/2021,4177.06,4187.72,4160.94,4167.59,1769152889,0.000703539
5/6/2021,4169.14,4202.7,4147.33,4201.62,2239080813,0.008165391
5/7/2021,4210.34,4238.04,4201.64,4232.6,2048519190,0.007373346
5/10/2021,4228.29,4236.39,4188.13,4188.43,2320014566,-0.010435666
5/11/2021,4150.34,4162.04,4111.53,4152.1,2432749321,-0.008673895
5/12/2021,4130.55,4134.73,4056.88,4063.04,2406683784,-0.021449387
5/13/2021,4074.99,4131.58,4074.99,4112.5,2163353723,0.012173151
5/14/2021,4129.58,4183.13,4129.58,4173.85,1904970402,0.014917933
5/17/2021,4169.92,4171.92,4142.69,4163.29,2278897644,-0.002530038
5/18/2021,4165.94,4169.15,4125.99,4127.83,2324677838,-0.008517302
5/19/2021,4098.45,4116.93,4061.41,4115.68,2414067271,-0.002943435
5/20/2021,4121.97,4172.8,4121.97,4159.12,2159532191,0.010554756
5/21/2021,4168.61,4188.72,4151.72,4155.86,2196798084,-0.00078382
5/24/2021,4170.16,4209.52,4170.16,4197.05,1848676717,0.009911306
5/25/2021,4205.94,4213.42,4182.52,4188.13,2117333013,-0.002125302
5/26/2021,4191.59,4202.61,4184.11,4195.99,2087338274,0.001876733
5/27/2021,4201.94,4213.38,4197.78,4200.88,3407781249,0.001165398
